Fecha,Hora,Variable,Valor,Unidad,Lugar
42736,0,Velocidad registrada,8.43,m/s,Barranquilla
42736,1,Velocidad registrada,8.78,m/s,Barranquilla
42736,2,Velocidad registrada,11,m/s,Barranquilla
42736,3,Velocidad registrada,12.3,m/s,Barranquilla
42736,4,Velocidad registrada,10.47,m/s,Barranquilla
42736,5,Velocidad registrada,11.85,m/s,Barranquilla
42736,6,Velocidad registrada,12.22,m/s,Barranquilla
42736,7,Velocidad registrada,11.65,m/s,Barranquilla
42736,8,Velocidad registrada,11.35,m/s,Barranquilla
42736,9,Velocidad registrada,10.72,m/s,Barranquilla
42736,10,Velocidad registrada,10.55,m/s,Barranquilla
42736,11,Velocidad registrada,8.62,m/s,Barranquilla
42736,12,Velocidad registrada,8.13,m/s,Barranquilla
42736,13,Velocidad registrada,9.18,m/s,Barranquilla
42736,14,Velocidad registrada,8.35,m/s,Barranquilla
42736,15,Velocidad registrada,9.6,m/s,Barranquilla
42736,16,Velocidad registrada,10.38,m/s,Barranquilla
42736,17,Velocidad registrada,9.35,m/s,Barranquilla
42736,18,Velocidad registrada,8.18,m/s,Barranquilla
42736,19,Velocidad registrada,6.98,m/s,Barranquilla
42736,20,Velocidad registrada,9.9,m/s,Barranquilla
42736,21,Velocidad registrada,12.08,m/s,Barranquilla
42736,22,Velocidad registrada,11.08,m/s,Barranquilla
42736,23,Velocidad registrada,10.73,m/s,Barranquilla
42737,0,Velocidad registrada,12.1,m/s,Barranquilla
42737,1,Velocidad registrada,10.55,m/s,Barranquilla
42737,2,Velocidad registrada,9.4,m/s,Barranquilla
42737,3,Velocidad registrada,8.3,m/s,Barranquilla
42737,4,Velocidad registrada,8.72,m/s,Barranquilla
42737,5,Velocidad registrada,6.93,m/s,Barranquilla
42737,6,Velocidad registrada,4.82,m/s,Barranquilla
42737,7,Velocidad registrada,7.6,m/s,Barranquilla
42737,8,Velocidad registrada,7.72,m/s,Barranquilla
42737,9,Velocidad registrada,9.02,m/s,Barranquilla
42737,10,Velocidad registrada,9.2,m/s,Barranquilla
42737,11,Velocidad registrada,9.27,m/s,Barranquilla
42737,12,Velocidad registrada,9.6,m/s,Barranquilla
42737,13,Velocidad registrada,8,m/s,Barranquilla
42737,14,Velocidad registrada,7.07,m/s,Barranquilla
42737,15,Velocidad registrada,8.25,m/s,Barranquilla
42737,16,Velocidad registrada,11.55,m/s,Barranquilla
42737,17,Velocidad registrada,12.03,m/s,Barranquilla
42737,18,Velocidad registrada,11.02,m/s,Barranquilla
42737,19,Velocidad registrada,10.58,m/s,Barranquilla
42737,20,Velocidad registrada,8.8,m/s,Barranquilla
42737,21,Velocidad registrada,6.1,m/s,Barranquilla
42737,22,Velocidad registrada,7.3,m/s,Barranquilla
42737,23,Velocidad registrada,6.98,m/s,Barranquilla
42738,0,Velocidad registrada,8.37,m/s,Barranquilla
42738,1,Velocidad registrada,9.47,m/s,Barranquilla
42738,2,Velocidad registrada,3.92,m/s,Barranquilla
42738,3,Velocidad registrada,3.25,m/s,Barranquilla
42738,4,Velocidad registrada,2.17,m/s,Barranquilla
42738,5,Velocidad registrada,1.82,m/s,Barranquilla
42738,6,Velocidad registrada,2.55,m/s,Barranquilla
42738,7,Velocidad registrada,2.9,m/s,Barranquilla
42738,8,Velocidad registrada,2.43,m/s,Barranquilla
42738,9,Velocidad registrada,3.12,m/s,Barranquilla
42738,10,Velocidad registrada,4.12,m/s,Barranquilla
42738,11,Velocidad registrada,6.28,m/s,Barranquilla
42738,12,Velocidad registrada,7.72,m/s,Barranquilla
42738,13,Velocidad registrada,7.52,m/s,Barranquilla
42738,14,Velocidad registrada,5.88,m/s,Barranquilla
42738,15,Velocidad registrada,4.6,m/s,Barranquilla
42738,16,Velocidad registrada,4.47,m/s,Barranquilla
42738,17,Velocidad registrada,3.62,m/s,Barranquilla
42738,18,Velocidad registrada,4.1,m/s,Barranquilla
42738,19,Velocidad registrada,6.2,m/s,Barranquilla
42738,20,Velocidad registrada,4.43,m/s,Barranquilla
42738,21,Velocidad registrada,3.75,m/s,Barranquilla
42738,22,Velocidad registrada,4.35,m/s,Barranquilla
42738,23,Velocidad registrada,4.5,m/s,Barranquilla
42739,0,Velocidad registrada,4.07,m/s,Barranquilla
42739,1,Velocidad registrada,2.37,m/s,Barranquilla
42739,2,Velocidad registrada,2.15,m/s,Barranquilla
42739,3,Velocidad registrada,2.02,m/s,Barranquilla
42739,4,Velocidad registrada,3.23,m/s,Barranquilla
42739,5,Velocidad registrada,3.57,m/s,Barranquilla
42739,6,Velocidad registrada,3.85,m/s,Barranquilla
42739,7,Velocidad registrada,3.1,m/s,Barranquilla
42739,8,Velocidad registrada,1.58,m/s,Barranquilla
42739,9,Velocidad registrada,1.42,m/s,Barranquilla
42739,10,Velocidad registrada,2.65,m/s,Barranquilla
42739,11,Velocidad registrada,5.45,m/s,Barranquilla
42739,12,Velocidad registrada,7.2,m/s,Barranquilla
42739,13,Velocidad registrada,7.13,m/s,Barranquilla
42739,14,Velocidad registrada,7.33,m/s,Barranquilla
42739,15,Velocidad registrada,7.55,m/s,Barranquilla
42739,16,Velocidad registrada,5.78,m/s,Barranquilla
42739,17,Velocidad registrada,4.58,m/s,Barranquilla
42739,18,Velocidad registrada,4,m/s,Barranquilla
42739,19,Velocidad registrada,3.45,m/s,Barranquilla
42739,20,Velocidad registrada,3.88,m/s,Barranquilla
42739,21,Velocidad registrada,4.37,m/s,Barranquilla
42739,22,Velocidad registrada,2.32,m/s,Barranquilla
42739,23,Velocidad registrada,1.52,m/s,Barranquilla
42740,0,Velocidad registrada,3.03,m/s,Barranquilla
42740,1,Velocidad registrada,2.8,m/s,Barranquilla
42740,2,Velocidad registrada,3.02,m/s,Barranquilla
42740,3,Velocidad registrada,2.13,m/s,Barranquilla
42740,4,Velocidad registrada,1.85,m/s,Barranquilla
42740,5,Velocidad registrada,2.02,m/s,Barranquilla
42740,6,Velocidad registrada,2.75,m/s,Barranquilla
42740,7,Velocidad registrada,1.35,m/s,Barranquilla
42740,8,Velocidad registrada,1.3,m/s,Barranquilla
42740,9,Velocidad registrada,1.6,m/s,Barranquilla
42740,10,Velocidad registrada,3.45,m/s,Barranquilla
42740,11,Velocidad registrada,3.08,m/s,Barranquilla
42740,12,Velocidad registrada,5.85,m/s,Barranquilla
42740,13,Velocidad registrada,7.57,m/s,Barranquilla
42740,14,Velocidad registrada,6.5,m/s,Barranquilla
42740,15,Velocidad registrada,6.63,m/s,Barranquilla
42740,16,Velocidad registrada,6.97,m/s,Barranquilla
42740,17,Velocidad registrada,6.4,m/s,Barranquilla
42740,18,Velocidad registrada,4.57,m/s,Barranquilla
42740,19,Velocidad registrada,4.23,m/s,Barranquilla
42740,20,Velocidad registrada,4.47,m/s,Barranquilla
42740,21,Velocidad registrada,5.5,m/s,Barranquilla
42740,22,Velocidad registrada,4.67,m/s,Barranquilla
42740,23,Velocidad registrada,1.6,m/s,Barranquilla
42741,0,Velocidad registrada,1.1,m/s,Barranquilla
42741,1,Velocidad registrada,2.28,m/s,Barranquilla
42741,2,Velocidad registrada,2.37,m/s,Barranquilla
42741,3,Velocidad registrada,2.58,m/s,Barranquilla
42741,4,Velocidad registrada,2.1,m/s,Barranquilla
42741,5,Velocidad registrada,2.45,m/s,Barranquilla
42741,6,Velocidad registrada,2.82,m/s,Barranquilla
42741,7,Velocidad registrada,3.75,m/s,Barranquilla
42741,8,Velocidad registrada,2.65,m/s,Barranquilla
42741,9,Velocidad registrada,2.53,m/s,Barranquilla
42741,10,Velocidad registrada,4,m/s,Barranquilla
42741,11,Velocidad registrada,3.22,m/s,Barranquilla
42741,12,Velocidad registrada,3.48,m/s,Barranquilla
42741,13,Velocidad registrada,5.57,m/s,Barranquilla
42741,14,Velocidad registrada,6.83,m/s,Barranquilla
42741,15,Velocidad registrada,5.82,m/s,Barranquilla
42741,16,Velocidad registrada,4.73,m/s,Barranquilla
42741,17,Velocidad registrada,4.3,m/s,Barranquilla
42741,18,Velocidad registrada,5.08,m/s,Barranquilla
42741,19,Velocidad registrada,3.5,m/s,Barranquilla
42741,20,Velocidad registrada,3.22,m/s,Barranquilla
42741,21,Velocidad registrada,3.85,m/s,Barranquilla
42741,22,Velocidad registrada,6.65,m/s,Barranquilla
42741,23,Velocidad registrada,7.05,m/s,Barranquilla
42742,0,Velocidad registrada,4.38,m/s,Barranquilla
42742,1,Velocidad registrada,3.6,m/s,Barranquilla
